Time(s),Thrust(N)
0,0
0.03,59.59081
0.06,61.37856
0.09,63.14401
0.12,64.88724
0.15,66.60828
0.18,68.3072
0.21,69.98405
0.24,71.63887
0.27,73.27172
0.3,74.88263
0.33,76.47165
0.36,78.03883
0.39,79.58419
0.42,81.10779
0.45,82.60965
0.48,84.08982
0.51,85.54833
0.54,86.9852
0.57,88.40048
0.6,89.79419
0.63,91.16636
0.66,92.51702
0.69,93.84621
0.72,95.15394
0.75,96.44024
0.78,97.70514
0.81,100.25728
0.84,102.92988
0.87,105.61023
0.9,108.29607
0.93,0.0
